url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,week_date,year
http://www.billboard.com/charts/hot-100/2011-12-17,12/17/2011,28,Make Me Proud,Drake Featuring Nicki Minaj,Make Me ProudDrake Featuring Nicki Minaj,1,39,9,8,2011-12-17,2011
http://www.billboard.com/charts/hot-100/2009-12-12,12/12/2009,31,Money To Blow,Birdman Featuring Lil Wayne & Drake,Money To BlowBirdman Featuring Lil Wayne & Drake,1,32,31,8,2009-12-12,2009
http://www.billboard.com/charts/hot-100/2012-07-14,7/14/2012,40,No Lie,2 Chainz Featuring Drake,No Lie2 Chainz Featuring Drake,1,40,40,8,2012-07-14,2012
http://www.billboard.com/charts/hot-100/2009-12-26,12/26/2009,43,I Invented Sex,Trey Songz Featuring Drake,I Invented SexTrey Songz Featuring Drake,1,43,43,8,2009-12-26,2009
http://www.billboard.com/charts/hot-100/2011-09-24,9/24/2011,45,Marvins Room,Drake,Marvins RoomDrake,1,45,21,8,2011-09-24,2011
http://www.billboard.com/charts/hot-100/2015-04-11,4/11/2015,57,Know Yourself,Drake,Know YourselfDrake,1,57,57,6,2015-04-11,2015
http://www.billboard.com/charts/hot-100/2012-06-30,6/30/2012,58,No Lie,2 Chainz Featuring Drake,No Lie2 Chainz Featuring Drake,1,67,45,6,2012-06-30,2012
http://www.billboard.com/charts/hot-100/2013-06-15,6/15/2013,61,No New Friends (SFTB Remix),"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne","No New Friends (SFTB Remix)DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,58,54,6,2013-06-15,2013
https://www.billboard.com/charts/hot-100/2020-09-05,9/5/2020,62,Greece,DJ Khaled Featuring Drake,GreeceDJ Khaled Featuring Drake,1,60,8,6,2020-09-05,2020
http://www.billboard.com/charts/hot-100/2015-04-04,4/4/2015,63,Legend,Drake,LegendDrake,1,62,52,6,2015-04-04,2015
http://www.billboard.com/charts/hot-100/2011-01-29,1/29/2011,66,Fall For Your Type,Jamie Foxx Featuring Drake,Fall For Your TypeJamie Foxx Featuring Drake,1,72,62,6,2011-01-29,2011
http://www.billboard.com/charts/hot-100/2016-06-25,6/25/2016,69,Hype,Drake,HypeDrake,1,54,33,6,2016-06-25,2016
https://www.billboard.com/charts/hot-100/2018-11-24,11/24/2018,70,Never Recover,Lil Baby & Gunna Featuring Drake,Never RecoverLil Baby & Gunna Featuring Drake,1,69,15,6,2018-11-24,2018
